epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.864,1.85529,2.33488,2.13302,0.63872,0.47246,0.50009,0.20221,1.2783,6.08196,1.29752,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,247.645,1.75137,2.11663,2.03447,0.52241,0.44379,0.42169,0.19024,1.27827,9.96183,1.3325,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,352.867,1.82491,2.3502,2.14712,0.37046,0.21928,0.18396,0.06987,1.54855,151.559,1.79963,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,455.597,1.8638,2.51811,2.20085,0.30621,0.28919,0.19624,0.07354,1.41358,62.6643,1.58232,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,559.385,1.81216,2.43061,2.16259,0.39729,0.38684,0.3346,0.10954,1.40848,32.8259,1.54477,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,662.497,1.75572,2.29749,2.09188,0.63094,0.42479,0.45331,0.18822,1.35207,9.20764,1.46723,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,764.306,1.7293,2.21793,2.07038,0.6356,0.49153,0.55433,0.2315,1.28012,12.0875,1.41392,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,866.708,1.70412,2.14408,2.05421,0.58044,0.4947,0.5064,0.20942,1.34378,10.3293,1.4741,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,972.273,1.66985,2.07629,2.01042,0.61704,0.48729,0.53754,0.22542,1.28561,19.185,1.40967,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1072.49,1.66165,2.0216,2.01383,0.70151,0.55826,0.6207,0.28102,1.20487,9.44919,1.3206,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1178.92,1.63736,1.97091,1.98529,0.70436,0.57203,0.63189,0.271,1.25898,5.53735,1.3726,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1279.03,1.62027,1.92537,1.96479,0.74904,0.60699,0.67347,0.29118,1.2811,7.81004,1.37618,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1383.68,1.60085,1.89673,1.95795,0.76377,0.61991,0.6922,0.33314,1.19708,4.04067,1.29965,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1483.64,1.58461,1.86704,1.9457,0.8044,0.59852,0.69442,0.31927,1.1945,5.25548,1.29898,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1584.48,1.58028,1.82813,1.94987,0.80183,0.65572,0.72202,0.34759,1.15432,7.31236,1.26548,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
