epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.652,1.61523,4.21763,1.85747,0.4189,0.30932,0.2991,0.11497,1.2539,8.36992,1.25216,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,205.581,1.59048,3.12352,1.7922,0.28248,0.30861,0.21466,0.07795,1.31282,9.13102,1.28207,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,297.377,1.69534,3.0955,1.87255,0.19802,0.12288,0.07234,0.02594,1.34678,5.60238,1.44737,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,390.143,1.71267,3.12158,1.91984,0.2545,0.21081,0.1471,0.05666,1.31868,16.4586,1.37663,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,480.889,1.69116,2.97071,1.88675,0.27312,0.28814,0.20176,0.07516,1.35048,5.81479,1.43266,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,570.893,1.66233,2.83988,1.85081,0.39999,0.37076,0.33476,0.12839,1.30307,2.84496,1.39374,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,660.094,1.65426,2.76392,1.84839,0.48672,0.40466,0.39981,0.16101,1.32349,4.96056,1.42363,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,752.896,1.63977,2.70286,1.84329,0.38001,0.39407,0.30925,0.13002,1.27209,4.62026,1.3734,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,843.76,1.62467,2.64216,1.8275,0.45747,0.45233,0.40989,0.17586,1.22542,2.70109,1.30033,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,934.396,1.63016,2.58479,1.82619,0.45979,0.38951,0.36991,0.15847,1.24996,3.43458,1.30632,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1023.07,1.60007,2.5446,1.81136,0.54502,0.45657,0.45691,0.19089,1.23237,1.57045,1.30041,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1114.15,1.59336,2.51064,1.7972,0.54143,0.49279,0.50637,0.21367,1.23009,2.06075,1.24258,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1203.35,1.58317,2.47079,1.79502,0.56911,0.4897,0.50691,0.22175,1.2617,1.63764,1.28566,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1292.16,1.57991,2.44878,1.77652,0.54623,0.48623,0.4853,0.22281,1.11452,2.51621,1.23938,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1384.14,1.5809,2.40581,1.78981,0.56559,0.48961,0.52125,0.23356,1.18492,3.62203,1.27461,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1476.42,1.55421,2.36856,1.76752,0.5867,0.49576,0.55069,0.26691,1.10479,1.53773,1.17912,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1566.08,1.55337,2.37577,1.77619,0.59676,0.55497,0.58529,0.24811,1.23737,1.93747,1.26737,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1655.66,1.5493,2.33992,1.75858,0.60974,0.54767,0.58488,0.26701,1.17889,1.79998,1.20555,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1746.75,1.54382,2.33805,1.7648,0.66872,0.53072,0.58443,0.25014,1.23133,1.29978,1.25123,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1837.41,1.53285,2.29302,1.75631,0.67814,0.55353,0.61738,0.26179,1.19573,1.4278,1.1994,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1927.56,1.53825,2.28636,1.76146,0.68462,0.53121,0.61665,0.28706,1.08782,1.6624,1.12093,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2017.86,1.53437,2.27044,1.75072,0.66961,0.57945,0.63442,0.30215,1.07514,1.54972,1.12059,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2109.52,1.5248,2.22571,1.7511,0.65396,0.61017,0.65322,0.30692,1.1385,1.51948,1.18245,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2199.88,1.52322,2.20612,1.74868,0.65628,0.54813,0.61446,0.29297,1.10875,1.45581,1.14577,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2290.2,1.53354,2.22818,1.74972,0.65945,0.62076,0.68027,0.33749,1.08262,2.0108,1.11234,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
