epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3541.23,1.562,1.79906,1.88289,0.82435,0.67161,0.76712,0.41033,1.06627,4.58495,1.13519,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3648.5,1.54809,1.77643,1.86724,0.80623,0.67267,0.77148,0.41704,1.04597,5.04883,1.13801,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3762.72,1.54468,1.77955,1.86803,0.82597,0.68879,0.77305,0.40335,1.05606,4.20961,1.16068,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3870.98,1.53921,1.75911,1.85467,0.80618,0.66535,0.75775,0.39589,1.07695,3.66693,1.14043,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3982,1.53076,1.73335,1.85258,0.81418,0.67767,0.74832,0.39803,1.09197,5.9667,1.14636,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4093.15,1.53023,1.74728,1.85428,0.81096,0.70127,0.77552,0.42373,1.02064,3.61088,1.1074,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4202.32,1.52954,1.72076,1.84668,0.79357,0.70127,0.7659,0.40701,1.00996,7.59649,1.09104,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4307.09,1.53534,1.72737,1.86623,0.78264,0.74258,0.79813,0.44869,0.97754,4.05108,1.0689,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4421.15,1.52429,1.71935,1.83991,0.81733,0.71081,0.78166,0.4401,0.9762,5.65346,1.06919,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4528.74,1.51466,1.6873,1.84214,0.83117,0.7161,0.80387,0.43515,0.99953,2.9902,1.08657,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4636.54,1.52429,1.69319,1.83832,0.82802,0.71398,0.79512,0.44813,0.98259,3.36943,1.07012,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4749.01,1.50473,1.67798,1.83092,0.79265,0.71928,0.77972,0.43624,0.96512,5.44375,1.0652,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4853.37,1.50698,1.6704,1.82513,0.83511,0.71081,0.79505,0.44931,0.96758,4.78942,1.08978,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4968.82,1.50333,1.6616,1.82578,0.81706,0.73336,0.79622,0.46298,0.94349,3.92344,1.0513,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5082.22,1.49411,1.6443,1.80753,0.82098,0.72246,0.79206,0.44278,0.99841,4.43506,1.0735,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5190.71,1.49273,1.63467,1.8203,0.83841,0.73199,0.79902,0.47177,0.92482,3.19679,1.03745,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5304.49,1.49136,1.63944,1.81442,0.81895,0.73199,0.79279,0.45397,0.93989,2.8592,1.03627,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5411.95,1.48333,1.63193,1.80772,0.82697,0.71893,0.79436,0.45833,0.93934,3.86991,1.04302,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5519.65,1.48633,1.62294,1.80793,0.83331,0.73517,0.80918,0.46297,0.96363,2.96234,1.04727,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5633.55,1.47066,1.60648,1.80074,0.84608,0.72788,0.8091,0.45183,0.98603,3.84603,1.06737,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5738.1,1.46851,1.59751,1.80262,0.86256,0.73133,0.80916,0.48455,0.9132,2.76534,1.0288,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5844.92,1.47056,1.59272,1.80245,0.83246,0.75106,0.818,0.47854,0.9289,3.60417,1.02695,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5961.16,1.46241,1.58916,1.79429,0.8308,0.76271,0.81958,0.48603,0.92257,3.61915,1.03039,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6069.04,1.46349,1.58212,1.79477,0.82393,0.74576,0.82069,0.47286,0.9414,3.19564,1.04006,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6175.33,1.46515,1.58279,1.78866,0.83863,0.75318,0.8175,0.46775,0.94322,3.60697,1.0408,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6287.33,1.45943,1.56286,1.78035,0.82767,0.75807,0.81431,0.46999,0.9528,2.61116,1.0411,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6396.77,1.45686,1.5548,1.78767,0.85539,0.73942,0.82507,0.4774,0.94027,2.61084,1.03456,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6506.12,1.44881,1.53744,1.77244,0.8598,0.74712,0.8261,0.48496,0.9418,2.78346,1.0348,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6613.61,1.4501,1.53767,1.77684,0.84913,0.77504,0.84236,0.48996,0.93724,2.88063,1.0402,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6724.26,1.4481,1.53419,1.77316,0.85495,0.76178,0.83599,0.49164,0.92588,2.11536,1.03069,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6837.21,1.44054,1.52933,1.7747,0.85748,0.76059,0.84123,0.49183,0.93111,2.11548,1.02328,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6947.39,1.44246,1.51123,1.76476,0.87239,0.76042,0.84754,0.49377,0.92779,1.88759,1.02517,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7055.63,1.44962,1.53482,1.77247,0.84722,0.76956,0.84609,0.48722,0.92933,2.59982,1.02204,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
