epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2664.54,1.50446,1.62909,1.80842,0.83551,0.68962,0.78014,0.42745,1.00022,3.45902,1.06137,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2745.9,1.49749,1.61039,1.79196,0.84255,0.70763,0.79747,0.4569,0.94621,2.15066,1.02699,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2831.76,1.49281,1.60642,1.79252,0.84375,0.70127,0.80413,0.43495,0.99175,2.88988,1.06311,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2916.06,1.48778,1.58633,1.7825,0.81255,0.72564,0.7929,0.41198,1.04456,2.02628,1.08935,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2997.15,1.48354,1.5679,1.77689,0.82091,0.73199,0.78902,0.45347,0.97644,4.27321,1.04167,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3079.04,1.47305,1.57976,1.77746,0.86683,0.71292,0.81377,0.4558,0.99272,3.635,1.04626,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3163.03,1.47339,1.55567,1.7691,0.82386,0.72881,0.79483,0.45291,0.94605,3.33573,1.01609,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3247.77,1.47912,1.56144,1.78691,0.8245,0.7447,0.80524,0.47297,0.94527,3.72206,1.01862,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3329.13,1.4745,1.54347,1.76326,0.8338,0.75953,0.81856,0.47425,0.94122,3.63669,1.01889,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3411.05,1.45649,1.51988,1.75979,0.8344,0.76271,0.82089,0.47025,0.94291,3.13277,1.01549,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3496.14,1.46552,1.52866,1.75586,0.86195,0.76066,0.82231,0.47035,0.95748,2.9663,1.03308,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3580.18,1.4503,1.51851,1.75268,0.82821,0.76695,0.82711,0.48282,0.94351,2.9991,1.01602,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3663.21,1.44851,1.49714,1.7479,0.84194,0.75636,0.83362,0.49657,0.93479,2.08707,1.01247,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3744.93,1.44736,1.48806,1.74442,0.8236,0.77651,0.83651,0.49756,0.90106,2.77477,0.98596,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3829.82,1.43457,1.46891,1.72797,0.84117,0.76801,0.83075,0.4963,0.90534,2.28252,0.98272,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3911.92,1.43205,1.45769,1.73391,0.85422,0.75847,0.83286,0.49665,0.89131,1.75693,0.97461,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3992.81,1.43459,1.47723,1.73425,0.84156,0.77647,0.83669,0.50512,0.88216,1.61036,0.97058,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4074.72,1.41952,1.46855,1.71965,0.85227,0.75172,0.83408,0.49731,0.90102,2.56166,0.98336,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4160.86,1.42172,1.45435,1.7243,0.87357,0.76059,0.85189,0.5091,0.89528,2.16702,0.9764,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4242.86,1.40849,1.43963,1.71333,0.8415,0.77436,0.84454,0.49367,0.91263,1.71083,0.99913,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4324.51,1.40498,1.42779,1.71153,0.85049,0.75327,0.84181,0.50104,0.88178,1.86811,0.96574,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4404.77,1.40916,1.42365,1.7115,0.86755,0.76322,0.84864,0.51338,0.86471,2.28072,0.95232,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4490.98,1.40527,1.41634,1.70627,0.88191,0.75155,0.84884,0.51071,0.89664,2.20943,0.9797,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4572.58,1.40432,1.41215,1.70689,0.86071,0.77239,0.84246,0.50627,0.89458,2.27478,0.98459,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4653.84,1.40527,1.40653,1.70341,0.85685,0.77359,0.85148,0.50479,0.90987,2.74104,0.98739,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4734.15,1.39707,1.39594,1.69609,0.86997,0.76548,0.85233,0.50059,0.92426,2.13091,0.9981,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4820.88,1.39253,1.382,1.69806,0.88791,0.76362,0.85575,0.49857,0.92793,2.02115,1.0029,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4902.9,1.37993,1.36505,1.68348,0.86822,0.76771,0.85203,0.50613,0.91942,1.85845,0.99843,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4983.19,1.38844,1.3735,1.69317,0.86329,0.78496,0.85655,0.52233,0.87811,2.03733,0.96922,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5064.28,1.37969,1.36292,1.67557,0.87646,0.76801,0.86029,0.52069,0.87994,2.09121,0.96897,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5148.96,1.37684,1.36389,1.6861,0.86172,0.79217,0.86417,0.52742,0.88627,2.0259,0.96017,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5231.36,1.37512,1.33522,1.674,0.86361,0.77225,0.85903,0.52404,0.87467,2.64019,0.95865,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5315.05,1.37822,1.35387,1.67916,0.84002,0.77872,0.84715,0.51125,0.88939,2.97729,0.96837,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5397.5,1.36382,1.32443,1.66379,0.862,0.76758,0.85716,0.51176,0.90215,2.50452,0.97531,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5482.75,1.37208,1.33087,1.66751,0.84579,0.77966,0.85574,0.52355,0.87136,2.76428,0.95129,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5565.23,1.36531,1.31807,1.66679,0.84125,0.78919,0.84869,0.51933,0.86509,3.10959,0.96007,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5645.74,1.35407,1.31119,1.65467,0.86512,0.76778,0.86317,0.52737,0.87513,2.29238,0.95949,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5729.68,1.34323,1.2901,1.64735,0.8608,0.77754,0.85793,0.52568,0.86895,2.49266,0.95408,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5813.86,1.34986,1.29362,1.65677,0.8599,0.7802,0.86385,0.53909,0.85127,2.1288,0.947,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5894.25,1.33991,1.28493,1.64613,0.85909,0.7944,0.86157,0.53833,0.84939,2.66859,0.93939,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5973.29,1.33704,1.28064,1.64115,0.86183,0.78814,0.86589,0.53408,0.86472,2.71678,0.9508,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6058.06,1.33577,1.26934,1.64265,0.84133,0.81038,0.86922,0.53699,0.85728,2.48781,0.9481,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6138.46,1.34234,1.26825,1.6437,0.86667,0.79875,0.8694,0.54392,0.84565,2.45083,0.93539,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6220.27,1.3315,1.25645,1.64076,0.8672,0.80826,0.87794,0.54135,0.85454,2.2044,0.93737,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6299.43,1.32201,1.2501,1.6306,0.8561,0.8067,0.87144,0.53776,0.85127,2.66939,0.94009,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6386.75,1.32103,1.24915,1.62713,0.88486,0.78151,0.86775,0.53631,0.85452,2.97736,0.93961,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6468.55,1.31629,1.24527,1.62613,0.87826,0.80403,0.87536,0.5373,0.85956,3.2208,0.9429,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6550.1,1.3138,1.23025,1.61968,0.887,0.79343,0.86914,0.53696,0.86193,2.94848,0.94105,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6629.62,1.31758,1.23559,1.62516,0.88942,0.7924,0.87344,0.54005,0.8474,2.71699,0.93202,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6715.61,1.30299,1.22195,1.61372,0.87468,0.80297,0.86922,0.53174,0.85742,2.52607,0.93842,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6798.53,1.30757,1.21682,1.61303,0.88135,0.78691,0.8664,0.53437,0.85509,2.31058,0.93927,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6879.58,1.29847,1.22039,1.60878,0.87814,0.79237,0.8664,0.53872,0.84252,2.43249,0.93232,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6959.59,1.29702,1.20203,1.60237,0.86442,0.79979,0.86438,0.53835,0.8455,2.63976,0.93557,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7044.13,1.30256,1.20905,1.60505,0.86258,0.78462,0.86122,0.54388,0.83161,2.57408,0.93042,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7124.53,1.2882,1.1913,1.59776,0.886,0.78212,0.8681,0.54204,0.84185,2.44198,0.93129,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7206.81,1.28722,1.19999,1.59811,0.8808,0.79058,0.87479,0.54336,0.84358,2.52168,0.93274,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7290.57,1.28699,1.18484,1.59752,0.8705,0.8118,0.87544,0.54554,0.83894,2.57604,0.93023,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7374.3,1.28868,1.1768,1.59179,0.8895,0.80157,0.87312,0.54614,0.83857,2.52945,0.92922,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7456.24,1.29068,1.18572,1.60458,0.88831,0.81144,0.87529,0.54608,0.84514,2.597,0.9316,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7538.7,1.01532,0.66926,1.42862,0.8866,0.80403,0.87002,0.54348,0.83997,2.93399,0.92996,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7622.26,0.99493,0.62447,1.41008,0.88623,0.80869,0.8707,0.5425,0.8372,2.94385,0.93026,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7688.78,0.98881,0.61182,1.41275,0.8958,0.79661,0.87072,0.5445,0.8346,2.67586,0.93037,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7752.14,0.97135,0.59801,1.38926,0.86928,0.82521,0.87331,0.54751,0.83292,2.28848,0.93036,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7815.24,0.95935,0.58798,1.38755,0.88215,0.8178,0.87506,0.55007,0.82481,1.96837,0.92458,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7882.24,0.95387,0.57446,1.36557,0.88732,0.82203,0.87584,0.55037,0.82086,1.82985,0.92336,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7945.31,0.95993,0.57049,1.37439,0.89011,0.82309,0.87374,0.5496,0.81747,1.89199,0.92204,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8008.49,0.95015,0.56896,1.36736,0.87686,0.82976,0.87232,0.54984,0.81514,1.91187,0.9214,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8075.49,0.9283,0.5548,1.35262,0.87786,0.82226,0.87154,0.55055,0.8128,1.95326,0.92183,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8141.58,0.93919,0.55275,1.36081,0.8827,0.82104,0.87041,0.54999,0.81373,1.98193,0.92301,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
