epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,156.104,1.88847,2.42121,2.10756,0.55632,0.41708,0.44348,0.19003,1.2717,8.15142,1.306,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,290.161,1.84713,2.29651,2.08715,0.46612,0.4036,0.3981,0.16865,1.33557,20.1438,1.4513,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,417.5,1.91207,2.55087,2.22191,0.19345,0.125,0.06643,0.02299,1.63518,248.091,1.77873,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,544.725,1.92004,2.64447,2.23032,0.34259,0.24788,0.19884,0.07195,1.49289,40.1103,1.68406,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,672.918,1.84615,2.52723,2.18521,0.3364,0.30125,0.24096,0.10115,1.29644,14.6798,1.4259,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,792.259,1.7881,2.42995,2.12256,0.40821,0.4019,0.29807,0.10295,1.41518,5.98464,1.54345,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,920.995,1.77339,2.35092,2.10464,0.52699,0.46398,0.43572,0.19505,1.26204,13.5211,1.39574,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1051.53,1.74526,2.28672,2.08576,0.50818,0.31356,0.31868,0.12841,1.28389,26.0616,1.40559,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1180.05,1.71995,2.22968,2.05107,0.60002,0.47775,0.50953,0.2124,1.26634,15.1003,1.38467,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1309.89,1.70396,2.18531,2.03542,0.61483,0.50318,0.5182,0.21659,1.303,14.3239,1.40477,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1433.02,1.69236,2.12103,2.01906,0.60604,0.51059,0.55376,0.24448,1.22786,3.43996,1.33289,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1558.99,1.67199,2.07719,1.9988,0.69749,0.54661,0.60964,0.25447,1.30632,8.19822,1.39104,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
