epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5302.75,0.54569,0.7313,0.40507,0.86252,0.78284,0.83962,0.42691,0.30411,0.69767,0.24488,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5464.18,0.54554,0.7166,0.40648,0.87199,0.80096,0.84869,0.4644,0.27233,0.98717,0.22863,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5626.25,0.52841,0.72975,0.39892,0.84459,0.79444,0.83572,0.45247,0.28111,0.73149,0.24158,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5787,0.53615,0.71819,0.40381,0.8537,0.80979,0.8375,0.43259,0.29064,0.90332,0.24024,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5948.63,0.53397,0.71531,0.40475,0.86123,0.79552,0.8413,0.45376,0.28893,0.74849,0.24858,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6109.95,0.52515,0.7225,0.39892,0.87981,0.81568,0.86103,0.46649,0.2713,0.76217,0.2274,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6271.01,0.52509,0.70801,0.3985,0.87739,0.80508,0.83934,0.44986,0.2848,0.80367,0.24466,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6433.43,0.52269,0.71445,0.39513,0.87362,0.82015,0.85908,0.47891,0.26512,0.90477,0.22086,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6596.67,0.52188,0.70646,0.39448,0.85058,0.81409,0.85017,0.46427,0.28053,0.71626,0.2417,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6759.63,0.51212,0.71378,0.39313,0.85468,0.79747,0.85015,0.48004,0.26595,0.70804,0.22096,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6921.04,0.51186,0.70794,0.39048,0.86909,0.80176,0.84983,0.46407,0.27596,0.73022,0.23837,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7082.33,0.50688,0.71184,0.38486,0.83823,0.82338,0.85549,0.45168,0.27956,0.65486,0.23036,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7244.79,0.50768,0.70178,0.38093,0.84124,0.82203,0.84434,0.46364,0.27632,0.6132,0.22923,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7406.36,0.50695,0.70663,0.38221,0.87468,0.80085,0.84734,0.46448,0.27867,0.79697,0.24103,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
