epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,159.752,1.73664,2.80394,2.02786,0.48093,0.46916,0.4309,0.16413,1.3761,3.5039,1.42616,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,292.302,1.73159,2.50997,1.97631,0.42188,0.29555,0.26659,0.1025,1.40813,3.81322,1.50219,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,413.681,1.79292,2.81946,2.06894,0.16427,0.14725,0.06372,0.02304,nan,nan,nan,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,535.634,1.81914,2.91024,2.06984,0.23618,0.20339,0.11186,0.03525,1.42893,13.2902,1.5384,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,655.898,1.75695,2.76007,2.0365,0.32225,0.26589,0.22849,0.08479,1.32701,6.40948,1.50656,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,777.377,1.7092,2.62804,1.98012,0.33968,0.35699,0.28367,0.10946,1.33436,4.3466,1.55415,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,897.345,1.69779,2.52053,1.98678,0.48635,0.4036,0.39569,0.16989,1.26461,4.7584,1.38777,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1017.71,1.67023,2.45335,1.95734,0.51827,0.47034,0.45396,0.19449,1.20056,3.10328,1.34564,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1140.4,1.65809,2.3776,1.93588,0.47427,0.4947,0.45932,0.18998,1.24146,2.24121,1.36666,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1263,1.63408,2.33939,1.93231,0.53948,0.51059,0.49052,0.21021,1.16911,3.01426,1.29614,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1382.81,1.61889,2.28678,1.91591,0.55145,0.54343,0.53255,0.24797,1.22442,1.62079,1.39446,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1504.63,1.60934,2.23199,1.90122,0.58595,0.53284,0.55949,0.24208,1.19495,2.12939,1.33825,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1626.8,1.58979,2.21146,1.90018,0.61343,0.58475,0.60751,0.27135,1.19572,1.68026,1.3113,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1746.54,1.58511,2.16205,1.88427,0.64419,0.58113,0.61355,0.31397,1.07267,1.7052,1.23998,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1867.65,1.58096,2.13075,1.89808,0.66919,0.54644,0.61845,0.27782,1.19925,2.03916,1.32908,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1988.51,1.54609,2.09498,1.86638,0.65415,0.59709,0.64408,0.32295,1.07255,1.24694,1.20736,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2108.4,1.55107,2.06983,1.87435,0.68458,0.57938,0.65519,0.29059,1.16978,1.34621,1.30887,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
