epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,118.831,1.79176,3.92889,1.96565,0.55849,0.52119,0.47682,0.22363,1.27768,2.74774,1.19648,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,218.552,1.7586,2.57557,1.88841,0.32675,0.31144,0.24174,0.09813,1.38753,9.99325,1.30973,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,315.382,1.78095,2.82702,1.94982,0.14265,0.13395,0.05915,0.01936,1.56009,7.479,1.56021,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,412.849,1.78429,2.92392,1.95626,0.23017,0.26377,0.15083,0.0465,1.43921,16.8945,1.47943,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,511.648,1.75397,2.788,1.92853,0.31591,0.34958,0.26036,0.09741,1.30283,7.57204,1.32515,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,608.513,1.70081,2.66605,1.88636,0.43931,0.43008,0.39214,0.15936,1.34554,3.63014,1.39022,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,707.13,1.68877,2.57177,1.8901,0.50096,0.46292,0.46579,0.19326,1.31618,2.52833,1.37742,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,804.518,1.66856,2.51437,1.87509,0.53009,0.45869,0.46451,0.21164,1.2379,2.94966,1.28593,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,900.885,1.64775,2.4439,1.84642,0.52009,0.48835,0.48367,0.19948,1.28539,2.23299,1.32727,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1000.31,1.63498,2.37668,1.85092,0.59522,0.51059,0.53388,0.23945,1.26844,2.87227,1.2721,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1097.82,1.6254,2.35074,1.8433,0.58951,0.48305,0.50344,0.22479,1.27942,2.28847,1.32472,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1193.92,1.60783,2.30106,1.81881,0.62888,0.51589,0.55261,0.26247,1.20967,1.43907,1.24744,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1289.62,1.59784,2.26701,1.81873,0.62418,0.52013,0.56797,0.2516,1.29881,2.2515,1.29298,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1386.25,1.59272,2.2437,1.80549,0.62065,0.55403,0.60413,0.28995,1.13792,1.40767,1.17352,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1486.62,1.57602,2.21834,1.81153,0.63441,0.56886,0.59028,0.273,1.22035,3.23661,1.27348,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1583.32,1.56702,2.14671,1.79755,0.72587,0.55085,0.63637,0.32266,1.12364,1.1792,1.16912,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1680.08,1.57097,2.14467,1.79049,0.73263,0.57764,0.64579,0.28712,1.21592,1.54548,1.24868,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1778.04,1.55859,2.12681,1.78432,0.71001,0.58157,0.66836,0.3296,1.11577,1.29764,1.16418,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1874.77,1.54051,2.13267,1.77349,0.66815,0.6197,0.6694,0.32188,1.10167,1.37845,1.15356,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1974.6,1.54427,2.06801,1.76815,0.69248,0.61653,0.68203,0.32557,1.13703,1.43298,1.17308,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2072.41,1.54067,2.07095,1.77676,0.71109,0.63242,0.69488,0.35023,1.06264,1.35032,1.0957,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2170.39,1.53739,2.05902,1.7724,0.71139,0.63665,0.69403,0.3257,1.17695,1.17848,1.18902,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2268.01,1.51486,2.01408,1.76694,0.71305,0.66314,0.71513,0.35237,1.14086,1.44886,1.12689,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2364.72,1.50849,2.01058,1.75733,0.7009,0.64046,0.71535,0.36905,1.05269,1.32168,1.10898,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2464.75,1.53207,2.0195,1.76286,0.72417,0.66747,0.72204,0.38546,1.06629,1.57464,1.10158,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2560.56,1.50696,1.97519,1.75012,0.71704,0.63889,0.6994,0.33228,1.13799,1.50797,1.16289,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2658.08,1.50836,1.97111,1.74204,0.75343,0.66032,0.72618,0.37601,1.08867,0.96828,1.12746,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2755.43,1.50009,1.93343,1.73954,0.80033,0.63242,0.71866,0.39148,1.01951,1.28923,1.06804,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2853.09,1.51357,1.90882,1.74007,0.75988,0.64831,0.72938,0.39027,1.05046,1.17582,1.091,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2951.82,1.49813,1.91114,1.72241,0.70896,0.67373,0.73156,0.38505,1.05665,0.9719,1.09939,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3049.88,1.48864,1.89621,1.71874,0.78134,0.67757,0.74253,0.40962,1.02408,0.88871,1.07093,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
