epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,195.923,1.8103,2.21592,2.06364,0.67077,0.54449,0.59761,0.23936,1.28127,11.7302,1.31156,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,376.757,1.82203,2.24376,2.08425,0.29628,0.33051,0.21484,0.08581,1.43958,36.6163,1.51113,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,548.232,1.9176,2.56894,2.2316,0.25308,0.13242,0.09686,0.03304,1.63966,198.464,1.8128,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,719.471,1.9221,2.67241,2.24647,0.29312,0.22885,0.16966,0.05645,1.56663,103.289,1.77409,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,893.142,1.8562,2.55279,2.203,0.43803,0.35487,0.32761,0.12727,1.34628,42.941,1.50305,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1058.47,1.795,2.43495,2.1329,0.39002,0.38559,0.31463,0.1174,1.37609,26.2761,1.55723,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1227.09,1.77526,2.34502,2.10907,0.53177,0.4428,0.44411,0.1935,1.26627,11.4272,1.40846,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1402.07,1.74099,2.27915,2.08065,0.53029,0.43962,0.44348,0.18822,1.24199,29.8988,1.37956,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1569.59,1.71475,2.19754,2.04932,0.593,0.48199,0.52098,0.1908,1.38627,8.38716,1.50614,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1744.5,1.69196,2.14656,2.03337,0.66177,0.52225,0.55152,0.23761,1.20726,5.66934,1.334,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1914.37,1.67642,2.0929,2.02083,0.65313,0.57203,0.60216,0.27619,1.1814,7.59265,1.31855,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2084.25,1.65994,2.04735,1.99309,0.68844,0.56674,0.61268,0.27389,1.27346,7.13224,1.37604,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2254.12,1.6385,2.00982,1.98904,0.74196,0.57733,0.64126,0.28343,1.27995,6.86667,1.37633,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2425.6,1.62716,1.98121,1.97444,0.6943,0.53602,0.62382,0.29164,1.15207,3.64285,1.27044,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2596.8,1.6179,1.93714,1.97059,0.70041,0.57945,0.63783,0.28705,1.25756,11.7654,1.34588,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2765.36,1.59878,1.8976,1.9582,0.7212,0.6056,0.6718,0.34663,1.14481,3.40731,1.26015,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2936.55,1.59448,1.88218,1.94258,0.77276,0.61123,0.67863,0.29666,1.2403,4.37428,1.28025,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3103.34,1.58059,1.85423,1.92558,0.77286,0.6452,0.71285,0.36953,1.09133,6.4324,1.19855,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3280.75,1.56604,1.84288,1.92127,0.82439,0.61168,0.72231,0.36049,1.14076,3.37918,1.22845,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3445.68,1.55284,1.79218,1.91351,0.7807,0.66737,0.73583,0.33207,1.19232,4.37333,1.27309,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3619.72,1.54897,1.77811,1.90529,0.83258,0.65784,0.7482,0.39626,1.02237,3.46003,1.131,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3789.61,1.54985,1.76213,1.89552,0.79031,0.66208,0.73264,0.36786,1.11889,8.04118,1.20841,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3956.59,1.52687,1.72543,1.87924,0.77278,0.66652,0.74434,0.38277,1.09595,3.95757,1.16854,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4128.3,1.52046,1.69928,1.87588,0.75551,0.68086,0.74717,0.40384,1.02341,3.67048,1.13879,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4300.37,1.52716,1.69774,1.87209,0.75143,0.6885,0.75852,0.4214,0.99217,5.34276,1.12224,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4467.68,1.50761,1.67951,1.86382,0.76207,0.69893,0.76306,0.39764,1.04684,4.13272,1.15406,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4637.2,1.50637,1.66624,1.85226,0.7705,0.69915,0.76557,0.42544,0.98952,3.55799,1.12474,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4811.08,1.49397,1.64319,1.85782,0.8503,0.69068,0.76899,0.41116,1.04938,4.76344,1.16877,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4977.51,1.49589,1.61767,1.84965,0.8266,0.69688,0.76809,0.41744,1.04882,6.05402,1.13809,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5152.49,1.48764,1.60108,1.8414,0.85504,0.6928,0.78383,0.43973,0.97702,3.06213,1.08805,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5322.55,1.47331,1.58411,1.82605,0.84862,0.71853,0.80418,0.44887,1.02004,3.47674,1.10486,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5491.59,1.47841,1.57958,1.83367,0.82074,0.71296,0.78657,0.42878,1.03158,2.51597,1.10725,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5661.59,1.47105,1.56305,1.81955,0.86041,0.75088,0.81455,0.4592,0.98295,2.29993,1.08991,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5835.28,1.45988,1.55825,1.81603,0.84996,0.72881,0.81489,0.44586,1.00886,2.41503,1.13349,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6004.66,1.45228,1.54149,1.8054,0.85963,0.69492,0.79808,0.42473,1.05351,2.46593,1.13293,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6172.65,1.45176,1.51446,1.80596,0.83304,0.72412,0.80079,0.44078,1.06373,4.53127,1.14994,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6345.97,1.44182,1.51652,1.80252,0.8129,0.75636,0.81484,0.43507,1.01717,2.67159,1.10816,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6511.98,1.43876,1.49676,1.79025,0.84572,0.72003,0.81124,0.46001,0.96529,3.98596,1.06101,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
